rank,feature,importance
1,cipher_bits,0.257926
2,tls_version_ord,0.131341
3,is_tls13,0.098548
4,cert_bits,0.094502
5,is_tls12,0.090394
6,weak_count,0.076057
7,is_ec_cert,0.066161
8,is_rsa_cert,0.052222
9,key_type_ord,0.047566
10,flag_cert_small,0.043944
11,is_first_party,0.022259
12,is_cdn,0.010896
13,is_ads,0.005587
14,is_google,0.002313
15,is_aead,0.000185
16,cipher_mode_ord,9.8e-05
17,is_legacy_tls,0.0
18,flag_legacy_tls,0.0
19,flag_rsa_kx,0.0
20,flag_rc4_3des,0.0
